nameStd,icd10
Apocrine sweat disorders,L75
Vitiligo,L80
Other disorders of pigmentation,L81
Chloasma,L81.1
Freckles,L81.2
Cafe au lait spots,L81.3
Other melanin hyperpigmentation,L81.4
"Leukoderma, not elsewhere classified",L81.5
Other disorders of diminished melanin formation,L81.6
Pigmented purpuric dermatosis,L81.7
Other specified disorders of pigmentation,L81.8
"Disorder of pigmentation, unspecified",L81.9
Seborrheic keratosis,L82
Acanthosis nigricans,L83
Corns and callosities,L84
Other epidermal thickening,L85
Acquired keratosis [keratoderma] palmaris et plantaris,L85.1
Keratosis punctata (palmaris et plantaris),L85.2
Xerosis cutis,L85.3
Other specified epidermal thickening,L85.8
"Epidermal thickening, unspecified",L85.9
Keratoderma in diseases classified elsewhere,L86
Transepidermal elimination disorders,L87
Pyoderma gangrenosum,L88
Pressure ulcer,L89
Atrophic disorders of skin,L90
Hypertrophic disorders of skin,L91
Granulomatous disorders of skin and subcutaneous tissue,L92
Lupus erythematosus,L93
Other localized connective tissue disorders,L94
Linear scleroderma,L94.1
Calcinosis cutis,L94.2
Sclerodactyly,L94.3
Gottron's papules,L94.4
Poikiloderma vasculare atrophicans,L94.5
Ainhum,L94.6
Other specified localized connective tissue disorders,L94.8
"Localized connective tissue disorder, unspecified",L94.9
"Vasculitis limited to skin, not elsewhere classified",L95
"Non-pressure chronic ulcer of lower limb, not elsewhere classified",L97
"Other disorders of skin and subcutaneous tissue, not elsewhere classified",L98
Factitial dermatitis,L98.1
Febrile neutrophilic dermatosis [Sweet],L98.2
Eosinophilic cellulitis [Wells],L98.3
"Non-pressure chronic ulcer of skin, not elsewhere classified",L98.4
Mucinosis of the skin,L98.5
Other infiltrative disorders of the skin and subcutaneous tissue,L98.6
Excessive and redundant skin and subcutaneous tissue,L98.7
Other specified disorders of the skin and subcutaneous tissue,L98.8
"Disorder of the skin and subcutaneous tissue, unspecified",L98.9
Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,L99
Phlebitis of portal vein,K75.1
Nonspecific reactive hepatitis,K75.2
"Granulomatous hepatitis, not elsewhere classified",K75.3
Autoimmune hepatitis,K75.4
Other specified inflammatory liver diseases,K75.8
"Inflammatory liver disease, unspecified",K75.9
Other diseases of liver,K76
Chronic passive congestion of liver,K76.1
Central hemorrhagic necrosis of liver,K76.2
Infarction of liver,K76.3
Peliosis hepatis,K76.4
Hepatic veno-occlusive disease,K76.5
Portal hypertension,K76.6
Hepatorenal syndrome,K76.7
Other specified diseases of liver,K76.8
"Liver disease, unspecified",K76.9
Liver disorders in diseases classified elsewhere,K77
Cholelithiasis,K80
Calculus of gallbladder without cholecystitis,K80.2
Cholecystitis,K81
Other diseases of gallbladder,K82
Hydrops of gallbladder,K82.1
Perforation of gallbladder,K82.2
Fistula of gallbladder,K82.3
Cholesterolosis of gallbladder,K82.4
Other specified diseases of gallbladder,K82.8
"Disease of gallbladder, unspecified",K82.9
Other diseases of biliary tract,K83
Cholangitis,K83.0
Obstruction of bile duct,K83.1
Perforation of bile duct,K83.2
Fistula of bile duct,K83.3
Spasm of sphincter of Oddi,K83.4
Biliary cyst,K83.5
Other specified diseases of biliary tract,K83.8
"Disease of biliary tract, unspecified",K83.9
Acute pancreatitis,K85
Other diseases of pancreas,K86
Other chronic pancreatitis,K86.1
Cyst of pancreas,K86.2
Pseudocyst of pancreas,K86.3
Other specified diseases of pancreas,K86.8
"Disease of pancreas, unspecified",K86.9
"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",K87
Intestinal malabsorption,K90
"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified",K91
Other diseases of digestive system,K92
Hematemesis,K92.0
Melena,K92.1
"Gastrointestinal hemorrhage, unspecified",K92.2
Other specified diseases of the digestive system,K92.8
"Disease of digestive system, unspecified",K92.9
Pyogenic arthritis,M00
Direct infections of joint in infectious and parasitic diseases classified elsewhere,M01
Postinfective and reactive arthropathies,M02
Rheumatoid arthritis with rheumatoid factor,M05
Other rheumatoid arthritis,M06
Adult-onset Still's disease,M06.1
Rheumatoid bursitis,M06.2
Rheumatoid nodule,M06.3
Inflammatory polyarthropathy,M06.4
Other specified rheumatoid arthritis,M06.8
"Rheumatoid arthritis, unspecified",M06.9
Enteropathic arthropathies,M07
Juvenile arthritis,M08
Gout,M10
Other crystal arthropathies,M11
Familial chondrocalcinosis,M11.1
Other chondrocalcinosis,M11.2
Other specified crystal arthropathies,M11.8
"Crystal arthropathy, unspecified",M11.9
Other and unspecified arthropathy,M12
Kaschin-Beck disease,M12.1
Villonodular synovitis (pigmented),M12.2
Palindromic rheumatism,M12.3
Intermittent hydrarthrosis,M12.4
Traumatic arthropathy,M12.5
"Other specific arthropathies, not elsewhere classified",M12.8
"Arthropathy, unspecified",M12.9
Other arthritis,M13
"Monoarthritis, not elsewhere classified",M13.1
Other specified arthritis,M13.8
Arthropathies in other diseases classified elsewhere,M14
CharcÃ‡Ã¯t's joint,M14.6
Arthropathies in other specified diseases classified elsewhere,M14.8
Polyosteoarthritis,M15
Osteoarthritis of hip,M16
Osteoarthritis of knee,M17
Osteoarthritis of first carpometacarpal joint,M18
Other and unspecified osteoarthritis,M19
Post-traumatic osteoarthritis of other joints,M19.1
Secondary osteoarthritis of other joints,M19.2
"Osteoarthritis, unspecified site",M19.9
Acquired deformities of fingers and toes,M20
Other acquired deformities of limbs,M21
"Varus deformity, not elsewhere classified",M21.1
Flexion deformity,M21.2
Wrist or foot drop (acquired),M21.3
Flat foot [pes planus] (acquired),M21.4
"Acquired clawhand, clubhand, clawfoot and clubfoot",M21.5
Other acquired deformities of foot,M21.6
Unequal limb length (acquired),M21.7
Other specified acquired deformities of limbs,M21.8
Unspecified acquired deformity of limb and hand,M21.9
Disorder of patella,M22
Internal derangement of knee,M23
Other specific joint derangements,M24
Other articular cartilage disorders,M24.1
Disorder of ligament,M24.2
"Pathological dislocation of joint, not elsewhere classified",M24.3
Recurrent dislocation of joint,M24.4
Contracture of joint,M24.5
Ankylosis of joint,M24.6
Protrusio acetabuli,M24.7
"Other specific joint derangements, not elsewhere classified",M24.8
"Joint derangement, unspecified",M24.9
"Other joint disorder, not elsewhere classified",M25
Fistula of joint,M25.1
Flail joint,M25.2
Other instability of joint,M25.3
Effusion of joint,M25.4
Pain in joint,M25.5
"Stiffness of joint, not elsewhere classified",M25.6
Osteophyte,M25.7
Other specified joint disorders,M25.8
"Joint disorder, unspecified",M25.9
Polyarteritis nodosa and related conditions,M30
Autoimmune diseases,M30~M36
Other necrotizing vasculopathies,M31
Thrombotic microangiopathy,M31.1
Lethal midline granuloma,M31.2
Wegener's granulomatosis,M31.3
Aortic arch syndrome [Takayasu],M31.4
Giant cell arteritis with polymyalgia rheumatica,M31.5
Other giant cell arteritis,M31.6
Microscopic polyangiitis,M31.7
Other specified necrotizing vasculopathies,M31.8
"Necrotizing vasculopathy, unspecified",M31.9
Systemic lupus erythematosus (SLE),M32
Dermatopolymyositis,M33
Systemic sclerosis [scleroderma],M34
Other systemic involvement of connective tissue,M35
Other overlap syndromes,M35.1
BehÃ§et's disease,M35.2
Polymyalgia rheumatica,M35.3
Diffuse (eosinophilic) fasciitis,M35.4
Multifocal fibrosclerosis,M35.5
Relapsing panniculitis [Weber-Christian],M35.6
Hypermobility syndrome,M35.7
Other specified systemic involvement of connective tissue,M35.8
"Systemic involvement of connective tissue, unspecified",M35.9
Systemic disorders of connective tissue in diseases classified elsewhere,M36
Kyphosis and lordosis,M40
Scoliosis,M41
Spinal osteochondrosis,M42
Other deforming dorsopathies,M43
Spondylolisthesis,M43.1
Fusion of spine,M43.2
Recurrent atlantoaxial dislocation with myelopathy,M43.3
Other recurrent atlantoaxial dislocation,M43.4
Other recurrent vertebral dislocation,M43.5
Torticollis,M43.6
Other specified deforming dorsopathies,M43.8
"Deforming dorsopathy, unspecified",M43.9
Ankylosing spondylitis,M45
Other inflammatory spondylopathies,M46
"Sacroiliitis, not elsewhere classified",M46.1
Osteomyelitis of vertebra,M46.2
Infection of intervertebral disc (pyogenic),M46.3
"Discitis, unspecified",M46.4
Other infective spondylopathies,M46.5
Other specified inflammatory spondylopathies,M46.8
Unspecified inflammatory spondylopathy,M46.9
Spondylosis,M47
Other spondylopathies,M48
Ankylosing hyperostosis [Forestier],M48.1
Kissing spine,M48.2
Traumatic spondylopathy,M48.3
Fatigue fracture of vertebra,M48.4
"Collapsed vertebra, not elsewhere classified",M48.5
Other specified spondylopathies,M48.8
"Spondylopathy, unspecified",M48.9
Spondylopathies in diseases classified elsewhere,M49
Cervical disc disorders,M50
"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders",M51
"Other and unspecified dorsopathies, not elsewhere classified",M53
Cervicobrachial syndrome,M53.1
Spinal instabilities,M53.2
"Sacrococcygeal disorders, not elsewhere classified",M53.3
Other specified dorsopathies,M53.8
"Dorsopathy, unspecified",M53.9
Dorsalgia,M54
Cervicalgia,M54.2
Pain in thoracic spine,M54.6
Myositis,M60
Calcification and ossification of muscle,M61
Other disorders of muscle,M62
Other rupture of muscle (nontraumatic),M62.1
Nontraumatic ischemic infarction of muscle,M62.2
Immobility syndrome (paraplegic),M62.3
Contracture of muscle,M62.4
"Muscle wasting and atrophy, not elsewhere classified",M62.5
Other specified disorders of muscle,M62.8
"Disorder of muscle, unspecified",M62.9
Disorders of muscle in diseases classified elsewhere,M63
Synovitis and tenosynovitis,M65
Spontaneous rupture of synovium and tendon,M66
Other disorders of synovium and tendon,M67
"Synovial hypertrophy, not elsewhere classified",M67.2
Transient synovitis,M67.3
Ganglion,M67.4
Plica syndrome,M67.5
Other specified disorders of synovium and tendon,M67.8
Unspecified disorder of synovium and tendon,M67.9
"Soft tissue disorders related to use, overuse and pressure",M70
Other bursopathies,M71
Other infective bursitis,M71.1
Synovial cyst of popliteal space [Baker],M71.2
Other bursal cyst,M71.3
Calcium deposit in bursa,M71.4
"Other bursitis, not elsewhere classified",M71.5
Other specified bursopathies,M71.8
"Bursopathy, unspecified",M71.9
Fibroblastic disorders,M72
Shoulder lesions,M75
"Enthesopathies, lower limb, excluding foot",M76
Other enthesopathies,M77
Lateral epicondylitis,M77.1
Periarthritis of wrist,M77.2
Calcaneal spur,M77.3
Metatarsalgia,M77.4
Other enthesopathy of foot,M77.5
"Other enthesopathies, not elsewhere classified",M77.8
"Enthesopathy, unspecified",M77.9
"Other and unspecified soft tissue disorders, not elsewhere classified",M79
Myalgia,M79.1
"Neuralgia and neuritis, unspecified",M79.2
"Panniculitis, unspecified",M79.3
Hypertrophy of (infrapatellar) fat pad,M79.4
Residual foreign body in soft tissue,M79.5
"Pain in limb, hand, foot, fingers and toes",M79.6
Fibromyalgia,M79.7
Other specified soft tissue disorders,M79.8
"Soft tissue disorder, unspecified",M79.9
Osteoporosis with current pathological fracture,M80
Postmenopausal osteoporosis with pathological fracture,M80.0
Osteoporosis without current pathological fracture,M81
Postmenopausal osteoporosis,M81.0
Adult osteomalacia,M83
Disorder of continuity of bone,M84
Other disorders of bone density and structure,M85
Skeletal fluorosis,M85.1
Hyperostosis of skull,M85.2
Osteitis condensans,M85.3
Solitary bone cyst,M85.4
Aneurysmal bone cyst,M85.5
Other cyst of bone,M85.6
Other specified disorders of bone density and structure,M85.8
"Disorder of bone density and structure, unspecified",M85.9
Osteomyelitis,M86
Osteonecrosis,M87
Osteitis deformans [Paget's disease of bone],M88
Other disorders of bone,M89
Physeal arrest,M89.1
Other disorders of bone development and growth,M89.2
Hypertrophy of bone,M89.3
Other hypertrophic osteoarthropathy,M89.4
Osteolysis,M89.5
Osteopathy after poliomyelitis,M89.6
Major osseous defect,M89.7
Other specified disorders of bone,M89.8
"Disorder of bone, unspecified",M89.9
Osteopathies in diseases classified elsewhere,M90
Juvenile osteochondrosis of hip and pelvis,M91
Other juvenile osteochondrosis,M92
Juvenile osteochondrosis of radius and ulna,M92.1
"Juvenile osteochondrosis, hand",M92.2
"Other juvenile osteochondrosis, upper limb",M92.3
Juvenile osteochondrosis of patella,M92.4
Juvenile osteochondrosis of tibia and fibula,M92.5
Juvenile osteochondrosis of tarsus,M92.6
Juvenile osteochondrosis of metatarsus,M92.7
Other specified juvenile osteochondrosis,M92.8
"Juvenile osteochondrosis, unspecified",M92.9
Other osteochondropathies,M93
KienbÃ‡Ã´ck's disease of adults,M93.1
Osteochondritis dissecans,M93.2
Other specified osteochondropathies,M93.8
"Osteochondropathy, unspecified",M93.9
Other disorders of cartilage,M94
Relapsing polychondritis,M94.1
Chondromalacia,M94.2
Chondrolysis,M94.3
Other specified disorders of cartilage,M94.8
"Disorder of cartilage, unspecified",M94.9
Other acquired deformities of musculoskeletal system and connective tissue,M95
Cauliflower ear,M95.1
Other acquired deformity of head,M95.2
Acquired deformity of neck,M95.3
Acquired deformity of chest and rib,M95.4
Acquired deformity of pelvis,M95.5
Other specified acquired deformities of musculoskeletal system,M95.8
"Acquired deformity of musculoskeletal system, unspecified",M95.9
"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",M96
"Biomechanical lesions, not elsewhere classified",M99
Acute nephritic syndrome,N00
Rapidly progressive nephritic syndrome,N01
Recurrent and persistent hematuria,N02
Chronic nephritic syndrome,N03
Nephrotic syndrome,N04
Unspecified nephritic syndrome,N05
Isolated proteinuria with specified morphological lesion,N06
"Hereditary nephropathy, not elsewhere classified",N07
Glomerular disorders in diseases classified elsewhere,N08
Acute pyelonephritis,N10
Chronic tubulo-interstitial nephritis,N11
"Tubulo-interstitial nephritis, not specified as acute or chronic",N12
Obstructive and reflux uropathy,N13
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,N14
Other renal tubulo-interstitial diseases,N15
Renal and perinephric abscess,N15.1
Other specified renal tubulo-interstitial diseases,N15.8
"Renal tubulo-interstitial disease, unspecified",N15.9
Renal tubulo-interstitial disorders in diseases classified elsewhere,N16
Acute kidney failure,N17
Chronic kidney disease (CKD),N18
Unspecified kidney failure,N19
Calculus of kidney and ureter,N20
Calculus of lower urinary tract,N21
Calculus of urinary tract in diseases classified elsewhere,N22
Unspecified renal colic,N23
Disorders resulting from impaired renal tubular function,N25
Unspecified contracted kidney,N26
Small kidney of unknown cause,N27
"Other disorders of kidney and ureter, not elsewhere classified",N28
"Cyst of kidney, acquired",N28.1
Other specified disorders of kidney and ureter,N28.8
"Disorder of kidney and ureter, unspecified",N28.9
Other disorders of kidney and ureter in diseases classified elsewhere,N29
Cystitis,N30
"Neuromuscular dysfunction of bladder, not elsewhere classified",N31
Other disorders of bladder,N32
Vesicointestinal fistula,N32.1
"Vesical fistula, not elsewhere classified",N32.2
Diverticulum of bladder,N32.3
Other specified disorders of bladder,N32.8
"Bladder disorder, unspecified",N32.9
Bladder disorders in diseases classified elsewhere,N33
Urethritis and urethral syndrome,N34
Urethral stricture,N35
Other disorders of urethra,N36
Urethral diverticulum,N36.1
Urethral caruncle,N36.2
Urethral functional and muscular disorders,N36.4
Urethral false passage,N36.5
Other specified disorders of urethra,N36.8
"Urethral disorder, unspecified",N36.9
Urethral disorders in diseases classified elsewhere,N37
Other disorders of urinary system,N39
Urinary tract infection,N39.0
Stress incontinence (female) (male),N39.3
Other specified urinary incontinence,N39.4
Other specified disorders of urinary system,N39.8
"Disorder of urinary system, unspecified",N39.9
Benign prostatic hyperplasia,N40
Inflammatory diseases of prostate,N41
Other and unspecified disorders of prostate,N42
Congestion and hemorrhage of prostate,N42.1
Dysplasia of prostate,N42.3
Other specified disorders of prostate,N42.8
"Disorder of prostate, unspecified",N42.9
Hydrocele and spermatocele,N43
Noninflammatory disorders of testis,N44
Orchitis and epididymitis,N45
Male infertility,N46
Disorders of prepuce,N47
Paraphimosis,N47.2
Other disorders of penis,N48
Balanitis,N48.1
Other inflammatory disorders of penis,N48.2
Priapism,N48.3
Ulcer of penis,N48.5
Induration penis plastica,N48.6
Other specified disorders of penis,N48.8
Other specified disorders of penis,N48.89
"Disorder of penis, unspecified",N48.9
"Inflammatory disorders of male genital organs, not elsewhere classified",N49
Other and unspecified disorders of male genital organs,N50
Vascular disorders of male genital organs,N50.1
Cyst of epididymis,N50.3
Other specified disorders of male genital organs,N50.8
Other specified disorders of male genital organs,N50.82
"Disorder of male genital organs, unspecified",N50.9
Disorders of male genital organs in diseases classified elsewhere,N51
Benign mammary dysplasia,N60
Inflammatory disorders of breast,N61
Hypertrophy of breast,N62
Unspecified lump in breast,N63
Other disorders of breast,N64
Fat necrosis of breast,N64.1
Atrophy of breast,N64.2
Galactorrhea not associated with childbirth,N64.3
Mastodynia,N64.4
Other signs and symptoms in breast,N64.5
Other specified disorders of breast,N64.8
"Disorder of breast, unspecified",N64.9
Salpingitis and oophoritis,N70
"Inflammatory disease of uterus, except cervix",N71
Inflammatory disease of cervix uteri,N72
Other female pelvic inflammatory diseases,N73
Chronic parametritis and pelvic cellulitis,N73.1
Unspecified parametritis and pelvic cellulitis,N73.2
Female acute pelvic peritonitis,N73.3
Female chronic pelvic peritonitis,N73.4
"Female pelvic peritonitis, unspecified",N73.5
Female pelvic peritoneal adhesions (postinfective),N73.6
Other specified female pelvic inflammatory diseases,N73.8
"Female pelvic inflammatory disease, unspecified",N73.9
Female pelvic inflammatory disorders in diseases classified elsewhere,N74
Diseases of Bartholin's gland,N75
Other inflammation of vagina and vulva,N76
Subacute and chronic vaginitis,N76.1
Acute vulvitis,N76.2
Subacute and chronic vulvitis,N76.3
Abscess of vulva,N76.4
Ulceration of vagina,N76.5
Ulceration of vulva,N76.6
Other specified inflammation of vagina and vulva,N76.8
Vulvovaginal ulceration and inflammation in diseases classified elsewhere,N77
Endometriosis,N80
Female genital prolapse,N81
Fistulae involving female genital tract,N82
"Noninflammatory disorders of ovary, fallopian tube and broad ligament",N83
Polyp of female genital tract,N84
"Other noninflammatory disorders of uterus, except cervix",N85
Hypertrophy of uterus,N85.2
Subinvolution of uterus,N85.3
Malposition of uterus,N85.4
Inversion of uterus,N85.5
Intrauterine synechiae,N85.6
Hematometra,N85.7
Other specified noninflammatory disorders of uterus,N85.8
"Noninflammatory disorder of uterus, unspecified",N85.9
Erosion and ectropion of cervix uteri,N86
Dysplasia of cervix uteri,N87
Other noninflammatory disorders of cervix uteri,N88
Old laceration of cervix uteri,N88.1
Stricture and stenosis of cervix uteri,N88.2
Incompetence of cervix uteri,N88.3
Hypertrophic elongation of cervix uteri,N88.4
Other specified noninflammatory disorders of cervix uteri,N88.8
"Noninflammatory disorder of cervix uteri, unspecified",N88.9
Other noninflammatory disorders of vagina,N89
Moderate vaginal dysplasia,N89.1
"Dysplasia of vagina, unspecified",N89.3
Leukoplakia of vagina,N89.4
Stricture and atresia of vagina,N89.5
Tight hymenal ring,N89.6
Hematocolpos,N89.7
Other specified noninflammatory disorders of vagina,N89.8
"Noninflammatory disorder of vagina, unspecified",N89.9
Other noninflammatory disorders of vulva and perineum,N90
Moderate vulvar dysplasia,N90.1
"Dysplasia of vulva, unspecified",N90.3
Leukoplakia of vulva,N90.4
Atrophy of vulva,N90.5
Hypertrophy of vulva,N90.6
Vulvar cyst,N90.7
Other specified noninflammatory disorders of vulva and perineum,N90.8
"Noninflammatory disorder of vulva and perineum, unspecified",N90.9
"Absent, scanty and rare menstruation",N91
"Excessive, frequent and irregular menstruation",N92
Other abnormal uterine and vaginal bleeding,N93
Pre-pubertal vaginal bleeding,N93.1
Other specified abnormal uterine and vaginal bleeding,N93.8
"Abnormal uterine and vaginal bleeding, unspecified",N93.9
Pain and other conditions associated with female genital organs and menstrual cycle,N94
Dyspareunia,N94.1
Vaginismus,N94.2
Premenstrual tension syndrome,N94.3
Primary dysmenorrhea,N94.4
Secondary dysmenorrhea,N94.5
"Dysmenorrhea, unspecified",N94.6
Other specified conditions associated with female genital organs and menstrual cycle,N94.8
Unspecified condition associated with female genital organs and menstrual cycle,N94.9
Menopausal and other perimenopausal disorders,N95
Menopausal and female climacteric states,N95.1
Postmenopausal atrophic vaginitis,N95.2
Other specified menopausal and perimenopausal disorders,N95.8
Unspecified menopausal and perimenopausal disorder,N95.9
Recurrent pregnancy loss,N96
Female infertility,N97
Complications associated with artificial fertilization,N98
"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified",N99
Ectopic pregnancy,O00
Hydatidiform mole,O01
Other abnormal products of conception,O02
Missed abortion,O02.1
Other specified abnormal products of conception,O02.8
"Abnormal product of conception, unspecified",O02.9
Spontaneous abortion,O03
Complications following (induced) termination of pregnancy,O04
Failed attempted termination of pregnancy,O07
Complications following ectopic and molar pregnancy,O08
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",O10
Pre-existing hypertension with pre-eclampsia,O11
Gestational [pregnancy-induced] edema and proteinuria without hypertension,O12
Gestational [pregnancy-induced] hypertension without significant proteinuria,O13
Pre-eclampsia,O14
Eclampsia,O15
Unspecified maternal hypertension,O16
Hemorrhage in early pregnancy,O20
Excessive vomiting in pregnancy,O21
Venous complications and hemorrhoids in pregnancy,O22
Infections of genitourinary tract in pregnancy,O23
"Diabetes mellitus in pregnancy, childbirth, and the puerperium",O24
"Malnutrition in pregnancy, childbirth and the puerperium",O25
Maternal care for other conditions predominantly related to pregnancy,O26
Low weight gain in pregnancy,O26.1
Pregnancy care for patient with recurrent pregnancy loss,O26.2
Retained intrauterine contraceptive device in pregnancy,O26.3
Herpes gestationis,O26.4
Maternal hypotension syndrome,O26.5
"Liver and biliary tract disorders in pregnancy, childbirth and the puerperium",O26.6
"Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium",O26.7
Other specified pregnancy related conditions,O26.8
"Pregnancy related conditions, unspecified",O26.9
Abnormal findings on antenatal screening of mother,O28
Complications of anesthesia during pregnancy,O29
Multiple gestation,O30
Complications specific to multiple gestation,O31
Maternal care for malpresentation of fetus,O32
Maternal care for disproportion,O33
Maternal care for abnormality of pelvic organs,O34
Maternal care for known or suspected fetal abnormality and damage,O35
Maternal care for other fetal problems,O36
Maternal care for other isoimmunization,O36.1
Maternal care for hydrops fetalis,O36.2
Maternal care for intrauterine death,O36.4
Maternal care for known or suspected poor fetal growth,O36.5
Maternal care for excessive fetal growth,O36.6
Maternal care for viable fetus in abdominal pregnancy,O36.7
Maternal care for other specified fetal problems,O36.8
"Maternal care for fetal problem, unspecified",O36.9
Polyhydramnios,O40
Other disorders of amniotic fluid and membranes,O41
Infection of amniotic sac and membranes,O41.1
Other specified disorders of amniotic fluid and membranes,O41.8
"Disorder of amniotic fluid and membranes, unspecified",O41.9
Premature rupture of membranes,O42
Placental disorders,O43
Placenta previa,O44
Premature separation of placenta [abruptio placentae],O45
"Antepartum hemorrhage, not elsewhere classified",O46
False labor,O47
Late pregnancy,O48
Preterm labor,O60
Failed induction of labor,O61
Abnormalities of forces of labor,O62
Long labor,O63
Obstructed labor due to malposition and malpresentation of fetus,O64
Obstructed labor due to maternal pelvic abnormality,O65
Other obstructed labor,O66
Obstructed labor due to locked twins,O66.1
Obstructed labor due to unusually large fetus,O66.2
Obstructed labor due to other abnormalities of fetus,O66.3
Failed trial of labor,O66.4
Attempted application of vacuum extractor and forceps,O66.5
Obstructed labor due to other multiple fetuses,O66.6
Other specified obstructed labor,O66.8
"Obstructed labor, unspecified",O66.9
"Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified",O67
Labor and delivery complicated by abnormality of fetal acid-base balance,O68
Labor and delivery complicated by umbilical cord complications,O69
Perineal laceration during delivery,O70
Other obstetric trauma,O71
Rupture of uterus during labor,O71.1
Postpartum inversion of uterus,O71.2
Obstetric laceration of cervix,O71.3
Obstetric high vaginal laceration alone,O71.4
Other obstetric injury to pelvic organs,O71.5
Obstetric damage to pelvic joints and ligaments,O71.6
Obstetric hematoma of pelvis,O71.7
Other specified obstetric trauma,O71.8
"Obstetric trauma, unspecified",O71.9
Postpartum hemorrhage,O72
"Retained placenta and membranes, without hemorrhage",O73
Complications of anesthesia during labor and delivery,O74
"Other complications of labor and delivery, not elsewhere classified",O75
Shock during or following labor and delivery,O75.1
"Pyrexia during labor, not elsewhere classified",O75.2
Other infection during labor,O75.3
Other complications of obstetric surgery and procedures,O75.4
Delayed delivery after artificial rupture of membranes,O75.5
Other specified complications of labor and delivery,O75.8
"Complication of labor and delivery, unspecified",O75.9
Encounter for full-term uncomplicated delivery,O80
Encounter for cesarean delivery without indication,O82
Puerperal sepsis,O85
Other puerperal infections,O86
Other infection of genital tract following delivery,O86.1
Urinary tract infection following delivery,O86.2
Pyrexia of unknown origin following delivery,O86.4
Other specified puerperal infections,O86.8
Venous complications and hemorrhoids in the puerperium,O87
Obstetric embolism,O88
Complications of anesthesia during the puerperium,O89
"Complications of the puerperium, not elsewhere classified",O90
"Infections of breast associated with pregnancy, the puerperium and lactation",O91
Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium,O92
"Cracked nipple associated with pregnancy, the puerperium, and lactation",O92.1
Other and unspecified disorders of breast associated with pregnancy and the puerperium,O92.2
Agalactia,O92.3
Hypogalactia,O92.4
Suppressed lactation,O92.5
Galactorrhea,O92.6
Other and unspecified disorders of lactation,O92.7
"Sequelae of complication of pregnancy, childbirth, and the puerperium",O94
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",O98
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",O99
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",O99.1
"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium",O99.2
"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",O99.3
"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",O99.4
"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium",O99.5
"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium",O99.6
"Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium",O99.7
"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",O99.8
Newborn affected by maternal conditions that may be unrelated to present pregnancy,P00
Newborn affected by maternal complications of pregnancy,P01
"Newborn affected by complications of placenta, cord and membranes",P02
Newborn affected by other complications of labor and delivery,P03
"Newborn affected by other malpresentation, malposition and disproportion during labor and delivery",P03.1
Newborn affected by forceps delivery,P03.2
Newborn affected by delivery by vacuum extractor [ventouse],P03.3
Newborn affected by Cesarean delivery,P03.4
Newborn affected by precipitate delivery,P03.5
Newborn affected by abnormal uterine contractions,P03.6
Newborn affected by other specified complications of labor and delivery,P03.8
"Newborn affected by complication of labor and delivery, unspecified",P03.9
Newborn affected by noxious substances transmitted via placenta or breast milk,P04
Disorders of newborn related to slow fetal growth and fetal malnutrition,P05
"Disorders of newborn related to short gestation and low birth weight, not elsewhere classified",P07
Disorders of newborn related to long gestation and high birth weight,P08
Intracranial laceration and hemorrhage due to birth injury,P10
Other birth injuries to central nervous system,P11
Other specified brain damage due to birth injury,P11.1
Unspecified brain damage due to birth injury,P11.2
Birth injury to facial nerve,P11.3
Birth injury to other cranial nerves,P11.4
Birth injury to spine and spinal cord,P11.5
"Birth injury to central nervous system, unspecified",P11.9
Birth injury to scalp,P12
Birth injury to skeleton,P13
Birth injury to peripheral nervous system,P14
Other birth injuries,P15
Birth injury to spleen,P15.1
Sternomastoid injury due to birth injury,P15.2
Birth injury to eye,P15.3
Birth injury to face,P15.4
Birth injury to external genitalia,P15.5
Subcutaneous fat necrosis due to birth injury,P15.6
Other specified birth injuries,P15.8
"Birth injury, unspecified",P15.9
Respiratory distress of newborn,P22
Congenital pneumonia,P23
Neonatal aspiration,P24
Interstitial emphysema and related conditions originating in the perinatal period,P25
Pulmonary hemorrhage originating in the perinatal period,P26
Chronic respiratory disease originating in the perinatal period,P27
Other respiratory conditions originating in the perinatal period,P28
